texts,labels
ጠቅላይ ሚኒስትር ዶ/ር አብይ አህመድ ጣሊያን ሮም ገቡአዲስ አበባ፣ ጥር 12፣ 2011 (ኤፍ.ቢ.ሲ) የኢፌዴሪ ጠቅላይ ሚኒስትር ዶክተር አብይ አህመድ በዛሬው እለት ጣሊያን ሮም ከተማ ገብተዋል።ጠቅላይ ሚኒስትር ዶክተር አብይ አህመድ ከልኡካን ቡድናቸው ጋር በመሆን ነው የአውሮፖ ጉብኝታቸው የመጀመሪያ መዳረሻ የሆነችው ታሪካዊቷ ከተማ ሮም የገቡት።ጠቅላይ ሚኒስትር ዶክተር አብይ አህመድ ሮም ከተማ ሲደርሱም የኢትዮጵያ ማህበረሰብ አባላት ደማቅ አቀባበል እንዳደረጉላቸው የጠቅላይ ሚኒስትር ጽህፈት ቤት አስታውቋል።ጠቅላይ ሚኒስትር ዶክተር አብይ አህመድ በሮም ቆይታቸው ከጣሊያኑ ጠቅላይ ሚኒስትር ጁሴፔ ኮንቴ ጋር ተገናኝተው እንደሚወያዩ ይጠበቃል።በሮም በሚኖራቸው ቆይታም ከነገ ጀምሮ ከልማት አጋሮች ጋር ቁልፍ የሁለትዮሽ ውይይቶችን ያደርጋሉ ተብሎ እንደሚጠበቅም ጽህፈት ቤቱ አስታውቋል።ከጣሊያኑ ጠቅላይ ሚኒስትር ጁሴፔ ኮንቴ በ2011 ዓ.ም መጀመሪያ ኢትዮጵያን በጎበኙበት ወቅት ጠቅላይ ሚኒስትር ዶክተር አብይ አህመድ ጣሊያንን እንዲጎበኙ መጋበዛቸው ይታወሳል።,positive
ደግ ዘመን መቶ ክፋ ቀን ሲወጣ ፡የሚነክሰን ሄዶ የምንስመው መጣ ,negative
ክፉው ቀን ወጥቶ የጠላነው ወቶ ደጉ ቀን መጥቶ የወደድነው መቶ የናፈቅነው መቶየባብ ልጅ እባብነው የዘንዶ ልጅ ዘንዶ አብይ በለጣቺሁ ከሁዋላህ  መጥቶ መሪማለት እንዲህነው ሲወጣ በህዝቡ ዱኣ ሲመለስ በህዝቡዱኣ በሰላም ሄዶ በሰላም ይምጣ ተብሎ ሲመረቅነው መሪ ማለት ብቻ የአብይ ፍቅር የአብይ ጥሩ ስራ ባጭሩ ተፅፎ ያልቅአይመስለኚም። አብይ ማለት ምርጥ ኢትዮጲያዊ አቀንቃኝ ምርጥ መሪ አስመሪ ባለተስፋው መሪ ምርጥ ጀግና መሪ የጀግኖች ባለተስፋ ምርጥ የህዝብ ልብ ማራኪ ምርጥ ባለተስፋው መሪ ዶ/ር አብይ አህመድዋ100 አመት ንገስ የኛ ማራኪው መሪ,strongPositive
ባባዬ ቶሎ ናልን ትናፍቀናለህ,positive
መሪይ ሁሉን አሳክተህ በሰላም እንድትመጣ ምኞቴ ነው እንወድሀለን,strongPositive
መሪይ ሁሉን አሳክተህ በሰላም እንድትመጣ ምኞቴ ነው እንወድሀለን.,strongPositive
አቢቹ ሀገርህ ላይ ትናፈቃለህና ቶሎ ና በሉልን።,positive
አብቹ እረተው ባክህ ይሄን 9 ቀን ስራ መስራት በሳምንት ውስጥ?! እኔ እንኳን አሜሪካን ዱቅ ብዬ ቅዳሜ እና እሁድ አልሰራም ምክንያቱም ቤተሰብ የሜባል ነገር አለ በርታ እስቲ ለማንኛውም እኔም እበረታለው,positive
አንተም በርታ እነዛ ኦነግ & TPLF ላይ:: እስቲ እጃቸውን ቁርጥ አርግልኝ:: ደሞ የ ቀኝ እጃቸው ነው ታድያ አብቹ,positive
ላንተላንተ መቼም ቢሆን መልካም ነገር ከመመኘት ወደ ሗላ አንልም ውድ መሪያችን አባታችን በሰላምእንድመለስልን የዘወትር ፀሎታችን ነው,positive
እንወደሃለን ትናፍቀናለህ መልካም ጉብኝት ይሁልህ ቶሎ ናልን የኛ ጀግና !!!!,strongPositive
ተወዳጁ ጠቅላይ ሚኒስትራችን ዶ/ር አብይ አህመድ እንኳን ወደ ጥንታዊቷ እና ውብዋ ከተማ ሮማ በሰላም ገቡ መልካም የስራ እና የጉብኝት ግዜ እንዲሆንሎት እመኛለሁ።,positive
የሃገር መሪዎች በሄዱበት ሃገር የሚደረግላቸው ኣቀባበል ለመሪው በሚሰጠው ሚዛን ነው። ታድያ ለመሽረፈት በየሃገራቱ ለሚያደርገው ሽርሽር ጭራሽ ሚቀበለው ከየት ይገኝ? ምክንያቱ ለመሽረፈት የሚመጥን ሃላፊ ማገኘቱ ከባድ ስለሚሆን ነው። ለመሌ ቢሆን ማ ያው እንደምታውቁት ስለሆነ ጁሰፔ ኮንቴ ነበር የሚቀበለው።,positive
ለምን ገደል አይገባም! እሱ ከሀገር ሲወጣ ጠብቅ የምንወጋበት ጠመንጃ ደግሞ የሆነ ትልቅ ችግር እንደሚፈጠር፡፡,negative
መቸም እንደቀድሞወቹ ጎረቤትወቻችንን  ሳይሆን ይዘህ እምትመጣው ይህን ድንግል መሬት አርስን ከኛ አልፎ ጎረቤትወቻችንንም የምንቀልብበት የእርሻ መሳርያ እንደሚሆን ተስፋ አለን,positive
እነዚህ ተጋሩ ናቸው በጉራዕ ፥ ጉንደት ፥ ሰሓጢ እና ደጉዓሊ የጨፈጨፉዋቹ እንዳያንስ በአምስት አመት ቆይታችሁ የሰደድ እሳት የሆኑባቹ እንጂ እኛማ እናንተ ጋር,negative
መደመር እንደምንፈልግ በእምየ ምንሊክ በኩል ገልፀንላቸዋል ፡፡,negative
እንደሚል ይጠበቃል ፡፡,negative
ኣቡሽየ ተሎ ናላቸው መንጋዎችህ ያንተ ተረትተረት ይናፍቃቸዋል። ደግሞም ይህ ትረስት ፈንድ ምናምን ዘላብድላቸው። ጨቅላ(ይ) ሚኒስትር ለሱሚመጥን ለኢትዮጵያ የማይመጥን አቀባበል ኣደረግለት የወዳጃቸው ሚኒሊክ ልጅ መሆኑ ኣላወቁም መሰለኝ።,positive
አሁን ይሄ እንደ መሪ ነው የሚወሰደው ፌክ መሪ አስመሳይ ምንም ነገር የለውም ሰለዚ እኛ አይምለከትም አብይ ማለት ውስጡ ባዶ መሆኑን ሁሉ ሰው አውቀዎል ሲገባ ራሱ አቀባበሉ እንደ ሃገሪ መሪ እንካን አልተቀበሉቱም ለውጥ እማ አለ እረ ገና አብይ ከቆየ ብዙ ነገር እናያለን,strongNegative
ደስ ሲል የሃገራችን ኢትዮጵያ ጠ/ሚ በሮም ከንቲባ ኣቀባበል ተደረገለት ለውጥ እማ ኣለ ኪኪኪኪኪኪኪኪኪኪኪኪ,positive
አላህ ከጎንሕ ይሁን ከክፉ አይን ይጠብቅህ አንተ የኢቲዮጲያ ብርቅዬ ልጅ ነሕ ኢቲዮጲያ የንዳንተ መሪ በማግኘቷ እድለኛ ናት,positive
አደራ አውሮፓ ያላችሁ ኢትዩጵያኖች እንቁላል እና ቲማቲም መወርወር በለመደ እጃችሁ በጽገሬዳ አበባ አብያችንን እንዳትፈነክቱብን ዋ,positive
የተሻለ ተብሎ ሊወሰድ የሚችል ቲቢተኛ ያልሆነ ሁሉንም ብሔር የማያስቀይም ቻይ መሪ ስለተላከ እግዚሃብሄር ይመስገን።,positive
አብቹ ኬኛ መሄድክን ስሰማ ሆዴን ባር ባር አለው...ጠቅ ጠቅ አረገሽ ስራሽን ቶሎ ተመለስ ትናፍቀናለ,positive
ፈጣሪ አይመልስህ!ልቦና ካለህ እዚያው ቅር!እመጣለሁ ካልክ ግን አንተን የያዘ አውሮፕላይ ሰማዩ ላይ ዶግ አመድ ይሁን!,negative
ክብር ለሚገባ ክብር ስጡ ይላል መጳሀፍ ቅዱስችን ዶ/ር አብይ አህመድ መልካም የጉብኝት ቀናት ይሁንል እኛም በደቡብ አፍሪካ የምንገኝ ኢትዩጵያን በጉጉት እንጠብቅለን,positive
ሚስቱን ወታደር ሆኖ መሸታ ቤት ሲማግጥ ስላገኛት፡ ሁሉም የትግራይ እናቶች እንደ ሚስቱ መስሎት ነው። ውሻ የውሻ ልጅ! የወሬ ኣምባሳደር,negative
እረ የጥፍትዘመን ምናለ የሰው አገረ ከመጓብኝት አገረሕ ብታረጋጋ በታናትነው እለት ስንት የአፍር ሕዝብ ነው ያለቀ?አታቅም እረበፈጠረሕ ኢትዮጵያ ---------,negative
እሳቸው ሲወጡ ኢትዮ ውስጥ መድፍ ይተኮሳል እስኪመለሱ ስለ ኢትዮ ቸር ወሬ ያሰማን እንዲህ ያልኩት ያለምክኒያት አይደለም ባታውቁም አገናዝቡ,negative
በጉጉት ነው የምንጠብቅ ወጥተህ እስክትገባ ፈጣሪህ ከፍት ከኃላ ይከተልህ,positive
የኛ ጀግና ፈጣሪ ካንተ ጋር ይሁን በሠላም ተመለስ,strongPositive
እንኳን በሰላም ገቡ! !! በሉ ይሄም ፓለቲካ ነው በሉ ።,positive
ግርማው የአንበሳ ቁጣው የነብር,positive
ይዞን ቢሄድ አሪፍ ነበር!,positive
እንደ መለስ ዘናዊ አይነት ጀግና ኢትዮጵያ መቸም አታገኝም ። ዶ/ር አብይ ለጉብኝት ብቻ የተመረጠ መሪ ነው,positive
ባለፈው ለላሊበላ እድሳት እርዳታ ጠየቊል...ዛሬስ?,positive
አብያችን እኔና ቤተሰቤ እንወድሀለን የሌላውን አላውቅም ብቻ በሄድክበት ሁሉ ፈጣሪ ይከተልህ,positive
ለምን ቀይ ባህር ጠልቆ አይቀርም ምን አገባኝ ለምን ሲኦል አይገባም,negative
አደራ ከብቶቹ እንዳይርብሹ መቸስ እግሩን እየጠበቁ ማተራመስ ነው ስራቸው !!,negative
ምን የጣልያን ውሻ መሰለሳ..ቅቅቅቅቅ,negative
ስደት ነው?,negative
በአካል እንደደረስከው በሀሳብህም ካለምክበት ድረስ፡ መሪዬ በመሆንህ እኮራለሁ፡፡,positive
በአካል እንደደረስከው በሀሳብህም ከለምክበት ድረስ፡ መሪዬ በመሆንህ እኮራለሁ፡፡,positive
ካካካካካካ ምነዉ እንደዉ የሚቀበለዉ ባለስልጣን ይጣ ድሮም እኮ ፈረንጅ የሚያጎበድድላቸዉ አይወዱም,negative
በሰላም ይመለሱልን,positive
በሰላም ተመለስልን....ሙሴው,positive
እውነት ነው የከተማ ከንቲባ ነው የተቀበለው ?,positive
መሽረፈት ጣልያን ገባ !! ማንን ክልል ይሸጥ ይሆን,negative
እንኩአን ሰላም ገባህልን,positive
ዶክተር አብይ ትሁቱ የፍቅር መሪያችን አይናችን ነህ እንኳን በሰላም ገባህ በሰላምም ጌታ ይመልስህ😍,positive
አብቹ ሰላም ተመለስ,positive
እንኳን በሰላም ገቡ! !! በሉ ይሄም ፓለቲካ ነው በሉ ።,positive
አረ በመመለስና በማረፍ ትድናላችሁ,negative
ይላል ቅዱስ ቃሉ ክቡር ጠ/ሚ ዙረት አላበዙም ወይ ?,positive
ይህ ጨቅላ ግን ጤንነቱ ያሳስበኛል ደግሞ ምን እሳት ጭሮ ሂዶ ይሆን??ሰዉየው ወጣ ሲልኮ ኢትዮጵያየ ሁሌ ጤና እንዳጣች ነው።,positive
እንኳን በሰላም ገቡ በሰላም ወደ ሀገሮ ይመልሶት,positive
ፈጣሪ ይርዳህ,positive
ምርመራ እንዳመሩ መረጃዎች እየወጡ ነው,positive
ብፈልግ ገሃነም ጭምር ይግባ።,negative
እንኳን በሠላም ገቡ ዋናው ሰላም ነው,positive
በኢትዮጵያ የተገኘውን ለውጥ መጠበቅና ማስቀጠል የእያንዳንዱ ዜጋ ሃላፊነት መሆን አለበት ሲሉ የአርበኞች ግንቦት 7 ለአንድነትና ዴሞክራሲ ንቅናቄ ሊቀመንበር ፕሮፌሰር ብርሃኑ ነጋ ተናገሩ።ንቅናቄው “ኢትዮጽያዊነትን እናወድስ” በሚል መሪ ቃል ያዘጋጀው የሙዚቃ ኮንሰርት በዛሬው እለት በአዲስ አበባ ሚሊኒየም አዳራሽ ተካሂዷል።በኮንሰርቱ ላይ መልእክት ያስተላለፉት ፕሮፌሰር ብርሃኑ፥ በኢትዮጵያ አሁን ያለውን አንድነት ለማጠናከር የቀደመውን አንድነት ማሰብ ያስፈልጋል ብለዋል።,positive
የዲያስፖራ ሜቴክ ብርሃኑ ነጋ,negative
ሁሌም ጀግና,strongPositive
እኔ ጎጠኞችን አይመቹኛም ኢትዮጲያ ዉስጥ  ሌባ አቋም ያለዉ ፓርቲ ድርጅት አግ 7 ብቻ ነዉ,negative
በርታልን አንበሳው,positive
የጀግና ልጅ ወያኔን ጉርጓድ ውስጥ ያስገባ ።,strongPositive
ገንዘቤ መሆን ነበረበት ስሙ ይሄ ሰውዬ,positive
ከኢትዮጵያ ውጭ ሌላ ሀገር እንዲኖረኝ አልፈልግም እንዲኖረኝም አልፈቅድም .... አራት ነጥብ,positive
ነውጥን ለውጥ ከተባለ: ለውጥ ማ አለ!,positive
ይሄ ሆዳም የድሮ ናፋቂ ከርሳም ስለ ለውጥ ያወራል እንዴ ሴት ማማገጡን ትቶ ቆርቆሮ ነገር,negative
በኢትዮጵ አንድነት ጋር አብረን ነን።,positive
ብር አምጡ ነጋ!!! ሌባው,negative
ገንዘብ ይሰብስብ በየሰበቡ የሌባ ልጅ,negative
ምነው ታዲያ የፌደራል መንግስትን ባንዲራ መጠቀሙን ጠላቹት ይህንን ቀን ያሳያቹ እሱ መስሎን,positive
ፕሮፌሠር ብርሀኑ ነጋ እዉነተኛ ጀግና ሀቀኛ እዉነተኛ ፖለቲካ እና ምሁር ናቸዉ፡የምትሳደቡ ዘረኛ ናችሁ።,strongPositive
የዚህ የብረሀኑ ነጋ ጌም መቼ ነው ያማቆመው እንደዚህ የሰውየ የስልጣን ጥማት ያለበት ሰው አላውቅም እጭ ፣60 70 እባካችሁ ቦታውን ለወጣቶቹ ልቀቁበፈጣሪ ያስጠላል,negative
ግንቦት 7 የመንግስት ሎሌና ሸረኛ ስብስብ ነው ሌሎች ድርጅቶችን እያብጠለጠለ ራሱን እንደ ጀግና እያደረገ ለመኖር ይፈልጋል።,negative
የተራበ ምግብ መሰረታዊ ፍላጎቱ ለሆነ ሀገር ከ አብይ ጎን ካልቆምክ!!,positive
ዶ/ር አብይ የሰበሰቡትን ብር 15 አመት ሙሉ ህዝብን ሳጥቡ የነበሩትን ብሩ ለመግስት ማስገባት አለባቸው የህ ካልሆነ,positive
የታሪክ ተጠያቂ ነህ በጣም ብዙ ብር ተዘርፎል የህዝብ መመለስ አለባቸው,strongNegative
በእነዚህ ህሊና ውስጥ ያለች አ/ያ እኔ ኣይገባኝም!!! አደለም ሃገርን 7 ግንቦችም የሚያስተዳድሩ አደሉም።,positive
የከሰረ ነጋዴ መቸም ለ ሁሉም አጨብጫቢ ነው ብራኑ ነጋ ሠገጤ ነው,strongNegative
ይሄ ሰውየ ግን ለኛስ ኣዎ በውሸት ሸውዶና ኣሳምኖናል እኔ ምለው ግን ለራሱ ብቁ ፖለቲከኛ ንኝ ብሎ ለራሱ ያሳምን(ይሽውድ ) ይሆን ወይ??,negative
እውነት ግቦት 7 ስልጣ ከያዘ ሀገር ያኔ ትገነጣጠላች ቤሄር ቤረሰብ ያለ አከበረ መጨረሻው ያው ነዉ ወንደ ከሆነ ነቀምትና መቐሌ ዪሂድ,negative
መቼም ከተማረ ሠው ህሊና ካለው ሠው ነገ የተሻለ ኢቲዬጲያን ማየት ከሚፈልግ ሠው ለትውልድ አሻራ ከማሣረፍ ወዘተ ይህነው ሚጠበቀው,positive
እውነት በዚ ሰዓት ያለው ሁኔታ የማያስጨንቀው ኢትዮጵያዊ አለ ማለት ነው ኢትዮጵያ የሚታየው ያለው ህገወጥ ወሳርያ መንግሥት መመሪያ ካላወጣ ከደቡብ ሱዳን የበለጠ ታሰጋለች።,negative
ግምቦት  ይገርማል 150 የኣጸይ ቴድሮስ ልጆች (ቅማንቶች) በኣንድ ጉድጎድ ተቀብሮ ሴገኙ ያላወገዘ ኣንዳችም ነገር ያለለ ስለኬንያ ሽብር ልያወግዝ ሞራል የለውም,negative
ዶ/ አቢይ ወደ ውጪ እስኪሄድ ጠብቆ አሁን ከየት ወጣ እሄ ሰውዬ መፈንቀለ መንግስት እንዳያካሄድ መንግስት ተጠንቀቁ እኚህ ሰዎች የስልጣን ጥማት እንጂ ምንም አያሳስባቸውም,negative
ጨፍልቆ አንድነት ለደርግም አልበጀ። አሁንማ ጨፍልቆ አንድነት ከቶ አይታሰብም። ለኢ/ያ አሁን ትክክለኛ አማራጭ ፈደራሊዝም ና አብይ ናቸዉ።,positive
ግሞ 7 ድርጅቱን የሚፈልጉት ለልመና ብቻ ነው ብርሃኑ ነጋ(ነጋ ብር አምጡ) አስመሳይ ከአማራ ላይ ዘወር በሉ ቻው እዛው ተግማሙ።,strongNegative
ምርጫ 97 እረሳቹት መሰለኝ እምትሳደቡ ሰዎች አሰናበተ ተው,negative
ግሞ(ግማታሙ)7 አገርን አይወክልም በተለይ አማራን፡አማራ በጅብ አይወከልም፡ብሬ ጎበዝ ከሆነ አሰናበተ ልደቱን ያናገረው፡፡,negative
 የአዳማ ሳይንስና ቴክኖሎጂ ዩኒቨርሲቲ ከረብሻ ጋር ተያይዞ የቅድመ ምረቃ መደበኛ ተማሪዎቹን አሰናበተ ,positive
ተገቢ ውሳኔ ነው፡፡ሲገርፉት አርፎ ሚማር ተማሪ ሲሳሱለት ይጨማለቃል፡፡ሄዶ የሰፈር ድንጋይ ላይ ዱቅ ይበል፡፡,negative
እንደ ገና ከመዋለ ህጻናት ይጀምሩ የምን ምርቃት ነው ድግል ጭንቅላት ይዘው። ,positive
ድሬ ትዩብ ምናለ ነውጡ ባታደናቅፉ ማለቴ ለውጡ ግድ የለም ለዉጥ እማ አለ!ሃሃሃሃሃ,positive
ለውጥ እማ ኣለ,positive
